"subject_activity" "timesignal-bodyacceleration-mean-x" "timesignal-bodyacceleration-mean-y" "timesignal-bodyacceleration-mean-z" "timesignal-bodyacceleration-std-x" "timesignal-bodyacceleration-std-y" "timesignal-bodyacceleration-std-z" "timesignal-gravityacceleration-mean-x" "timesignal-gravityacceleration-mean-y" "timesignal-gravityacceleration-mean-z" "timesignal-gravityacceleration-std-x" "timesignal-gravityacceleration-std-y" "timesignal-gravityacceleration-std-z" "jerksignal-bodyacceleration-mean-x" "jerksignal-bodyacceleration-mean-y" "jerksignal-bodyacceleration-mean-z" "jerksignal-bodyacceleration-std-x" "jerksignal-bodyacceleration-std-y" "jerksignal-bodyacceleration-std-z" "timesignal-bodyangularvelocity-mean-x" "timesignal-bodyangularvelocity-mean-y" "timesignal-bodyangularvelocity-mean-z" "timesignal-bodyangularvelocity-std-x" "timesignal-bodyangularvelocity-std-y" "timesignal-bodyangularvelocity-std-z" "jerksignal-bodyangularvelocity-mean-x" "jerksignal-bodyangularvelocity-mean-y" "jerksignal-bodyangularvelocity-mean-z" "jerksignal-bodyangularvelocity-std-x" "jerksignal-bodyangularvelocity-std-y" "jerksignal-bodyangularvelocity-std-z" "timesignalmagnitude-bodyacceleration-mean" "timesignalmagnitude-bodyacceleration-std" "timesignalmagnitude-gravityacceleration-mean" "timesignalmagnitude-gravityacceleration-std" "jerksignalmagnitude-bodyacceleration-mean" "jerksignalmagnitude-bodyacceleration-std" "timesignalmagnitude-bodyangularvelocity-mean" "timesignalmagnitude-bodyangularvelocity-std" "jerksignalmagnitude-bodyangularvelocity-mean" "jerksignalmagnitude-bodyangularvelocity-std" "frecuencysignal-bodyacceleration-mean-x" "frecuencysignal-bodyacceleration-mean-y" "frecuencysignal-bodyacceleration-mean-z" "frecuencysignal-bodyacceleration-std-x" "frecuencysignal-bodyacceleration-std-y" "frecuencysignal-bodyacceleration-std-z" "frecuencyjerksignal-bodyacceleration-mean-x" "frecuencyjerksignal-bodyacceleration-mean-y" "frecuencyjerksignal-bodyacceleration-mean-z" "frecuencyjerksignal-bodyacceleration-std-x" "frecuencyjerksignal-bodyacceleration-std-y" "frecuencyjerksignal-bodyacceleration-std-z" "frecuencysignal-bodyangularvelocity-mean-x" "frecuencysignal-bodyangularvelocity-mean-y" "frecuencysignal-bodyangularvelocity-mean-z" "frecuencysignal-bodyangularvelocity-std-x" "frecuencysignal-bodyangularvelocity-std-y" "frecuencysignal-bodyangularvelocity-std-z" "frecuencysignalmagnitude-bodyacceleration-mean" "frecuencysignalmagnitude-bodyacceleration-std"
"subject1_standing" 0.278645340575163 -0.0165758861026797 -0.108156333344458 -0.987234466627451 -0.947590883568627 -0.954124562375163 0.931098634941177 -0.209645333458824 -0.0725150010582484 -0.987796389202614 -0.975289936640523 -0.963201984836601 0.0752652872534771 0.00926216631438693 -0.00352813036926405 -0.984441961359477 -0.97161582945098 -0.984170626901961 -0.0261834153811895 -0.0704210169446144 0.0824382689928105 -0.956913220509804 -0.970047103633987 -0.968138139045752 -0.100341278259216 -0.0415369667384314 -0.0528371116175294 -0.976581630836601 -0.985134352169935 -0.983350496496732 -0.964839706248366 -0.959867219437909 -0.964839706248366 -0.959867219437909 -0.982107645895425 -0.979142192562091 -0.953024558653595 -0.944550166013072 -0.984403578875817 -0.981245940444444 -0.985206070156863 -0.955449898013072 -0.967929502771242 -0.988287617529412 -0.946479747071895 -0.95021808330719 -0.984394147830065 -0.971688420771242 -0.981499417111111 -0.985963820444444 -0.973727787960784 -0.985508195071895 -0.956550403934641 -0.973331711058824 -0.969344482431373 -0.95773782172549 -0.968529435986928 -0.970735176562092 -0.966939417464052 -0.961881892235294
"subject1_sitting" 0.27517133578042 -0.0121847803162378 -0.106433574727413 -0.98551069151049 -0.941703050096503 -0.952340729286713 0.872156520783217 0.0948018213036364 0.108249153590434 -0.982220049524476 -0.959988628246154 -0.956670958044755 0.0759467402471329 0.00508365704743525 -0.00358495971597874 -0.987592807734266 -0.978319872433566 -0.985608854923077 -0.0360976156851832 -0.0704221036532867 0.0830391611885594 -0.985222740979021 -0.972951622111888 -0.964023816321678 -0.0959548850517482 -0.0409743554717259 -0.0523488915504336 -0.990320097622378 -0.989761688335664 -0.987266986517483 -0.96260343965035 -0.949262500853147 -0.96260343965035 -0.949262500853147 -0.985579066797203 -0.983691736125874 -0.952386066727273 -0.958510336783217 -0.991092874531469 -0.988975365048951 -0.985570603440559 -0.95391484267972 -0.965484225555245 -0.985592185020979 -0.939287787341259 -0.948873375672727 -0.987814920083916 -0.978423889174825 -0.983250901804196 -0.98849227193007 -0.979844195160839 -0.986590772447552 -0.982592851342657 -0.977541019132867 -0.966644269174825 -0.98613338413986 -0.97076190393007 -0.966561442713287 -0.960579707022378 -0.951219431731469
"subject1_laying" 0.26880151068948 -0.0191458293230672 -0.107763715048289 -0.963450336760456 -0.947889724272497 -0.947153858475792 -0.270897894019011 0.590294041917617 0.509250097100127 -0.949446806603295 -0.972428022329531 -0.955634920940431 0.0796051696166033 0.0102238298819265 -0.00413167630610773 -0.980386172319392 -0.971154053460076 -0.98030988765526 -0.0193437787427077 -0.090758556126033 0.117334914103929 -0.966783998657795 -0.962129723295311 -0.966156425665399 -0.100764648816477 -0.038519309757692 -0.062081783799493 -0.97518725356147 -0.979809059024081 -0.984140837629911 -0.95052591986692 -0.937339214135615 -0.95052591986692 -0.937339214135615 -0.979902450392902 -0.974179345640051 -0.943091776856781 -0.938845485802281 -0.982583584968314 -0.974858121850444 -0.969163632801014 -0.955870061912548 -0.96064876008872 -0.961628803400507 -0.947011352751584 -0.9439603776109 -0.98025016157161 -0.971468033231939 -0.97743457112801 -0.982401106996198 -0.972961426780735 -0.981812641432193 -0.961360383383143 -0.96644637026616 -0.966023122103929 -0.968803210101394 -0.960363305918885 -0.969352629391635 -0.952131625741445 -0.93953393991128
"subject1_walking" 0.274684984052944 -0.0192974922989979 -0.111121186430998 -0.154803225147471 0.0201797599206915 -0.202500399936856 0.898674446250675 -0.238903906398163 -0.116153783290337 -0.958178818865478 -0.945084462085359 -0.925283027136683 0.0797388259780956 0.00858031954918505 -0.00563549757992491 -0.213805884684716 -0.171199030512535 -0.508015513878898 -0.0352107479270881 -0.0707770746011134 0.0738216927158749 -0.442926499603566 -0.306533469737174 -0.283099377903793 -0.0924226340377293 -0.0454277965673906 -0.0500437256519017 -0.465560540579903 -0.553029799705348 -0.473157649797445 -0.0502908237093031 -0.162307668322143 -0.0502908237093031 -0.162307668322143 -0.244215407717093 -0.209720283470665 -0.185683241221145 -0.326604592876315 -0.505223308991302 -0.560213503644949 -0.188636604736975 -0.0365272046083739 -0.311292994214138 -0.144223797385051 -0.0180724448009995 -0.212893715455127 -0.257159100193549 -0.216462397065381 -0.467324428560022 -0.239849573794664 -0.178651451523042 -0.547749020012712 -0.351056388363863 -0.371938320026283 -0.268136970970135 -0.475537849560432 -0.281027440478806 -0.357419997147218 -0.136717083705954 -0.310048232192977
"subject1_walking_downstairs" 0.288972277614679 -0.015817142613977 -0.106977135925648 0.132404621537378 0.0738913311049174 -0.157997211363395 0.916241236348624 -0.198855333473394 -0.0933054623316147 -0.944922339559633 -0.934570441559633 -0.90985418133945 0.0811676990782844 0.000612262423559632 -0.0110264495018716 -0.00440036667148624 -0.0920574118864037 -0.372700833684661 -0.0814370788151376 -0.0533946637537431 0.0861110924293578 -0.352862714593211 -0.328700349514128 -0.24466849289633 -0.0684173733950092 -0.0547617796417798 -0.0546007456429725 -0.460057560057431 -0.45808567420367 -0.346482242879028 0.135456936944752 0.13267866208422 0.135456936944752 0.13267866208422 -0.0968854856545505 0.00217675010644037 -0.117788287594202 -0.27585648863145 -0.430919610102752 -0.469023441334679 0.0500301985891193 0.0525496308001835 -0.187415176744532 0.160498229585266 0.0152566425141284 -0.212228691037395 -0.0509054284331927 -0.131474031274862 -0.315789706180917 -0.0464235609131431 -0.111485378396606 -0.428828050794202 -0.266774666136716 -0.304702499818532 -0.149089752575596 -0.385149689916697 -0.351682452712073 -0.349688086200734 0.165292450381468 -0.0652647000315596
"subject1_walking_upstairs" 0.261278410728171 -0.0237425211554987 -0.117421187468369 -0.247814901668254 0.00291621132586491 -0.147122771009061 0.857139618912685 -0.293241659176277 -0.158335258851208 -0.94845914878089 -0.929416220181219 -0.904839855551895 0.0817029404653871 0.00837232025736409 -0.00694574653657331 -0.381442826275124 -0.329714037252554 -0.635836534601318 0.00320573636947282 -0.08770624242171 0.0511374626241516 -0.490150791485502 -0.270600329922076 -0.26145652315374 -0.110954657835305 -0.0387941400418287 -0.0447725587839209 -0.589112699005601 -0.668507716573311 -0.590973778240692 -0.094091875708089 -0.242195611414359 -0.094091875708089 -0.242195611414359 -0.396303927676606 -0.404577113785502 -0.159252869077265 -0.312987015389654 -0.619374948647611 -0.684338516392092 -0.305035813432801 -0.126605338948105 -0.369758676178089 -0.228037627778418 0.000361035358369028 -0.107689828705552 -0.411428755483361 -0.357577621594728 -0.600144995663921 -0.40634427012486 -0.345804381007578 -0.670695181004942 -0.431572698173476 -0.431294733566639 -0.330432348377265 -0.513457898115321 -0.197740619837727 -0.311391845528995 -0.261516332923888 -0.351242666650741
"subject3_standing" 0.278211718816327 -0.0164995184289796 -0.108274344981355 -0.980180195591837 -0.924078895428571 -0.929813369877551 0.940676079877551 -0.187687372230204 -0.0622615989826939 -0.98858299355102 -0.969216500653061 -0.949836003510204 0.0752871009015918 0.00954289666481633 -0.00318311559859592 -0.974157554979592 -0.963137978081633 -0.975432040244898 -0.0287520261006939 -0.0663378164295918 0.0784475177387755 -0.927452956489796 -0.946750811673469 -0.944905470244898 -0.0988458465285714 -0.0434773744857143 -0.0506702597530612 -0.963123026163265 -0.97241258477551 -0.974887211673469 -0.946223334285714 -0.938043139918367 -0.946223334285714 -0.938043139918367 -0.973947277795918 -0.964177431469388 -0.925495101306122 -0.909548109591837 -0.973762919346939 -0.965664562693878 -0.976327699673469 -0.937965579959184 -0.949592667020408 -0.982103085387755 -0.921728255877551 -0.925098059877551 -0.974334036489796 -0.963616118938776 -0.971373541346939 -0.976450270693878 -0.965388583265306 -0.978235696326531 -0.930594043346939 -0.95199039477551 -0.949293812734694 -0.927876106816326 -0.944611727959184 -0.948792660408163 -0.947368968938776 -0.942405960244898
"subject3_sitting" 0.268576163595238 -0.00813811500519481 -0.100037397196537 -0.983213087489177 -0.918944422727273 -0.917833063991342 0.896417327792208 0.116840026777195 0.158452008725974 -0.976084664935065 -0.94564105025974 -0.928314037965368 0.0753820975181818 0.00597742592955844 -0.00706730678619048 -0.985197604761905 -0.974507173982684 -0.981420593722944 -0.0397394918177489 -0.0761862977523809 0.0764779373816017 -0.980250806493506 -0.961685059177489 -0.952491786580087 -0.0977179104848485 -0.0405714117495238 -0.0505675131236797 -0.986542094675325 -0.985757098311688 -0.985259147099567 -0.939603775411255 -0.920224815670996 -0.939603775411255 -0.920224815670996 -0.982349216190476 -0.978603881645022 -0.940966684112554 -0.946477077350649 -0.987827637142857 -0.984494895108225 -0.983140084978355 -0.94108765030303 -0.94612751165368 -0.983430407489178 -0.913993219796537 -0.910481318121212 -0.985247563203463 -0.974576000735931 -0.978498063896104 -0.986526380995671 -0.976336969090909 -0.98298781051948 -0.9766782295671 -0.969196171645022 -0.958057626363636 -0.981451677402597 -0.95820244030303 -0.955235298658009 -0.942588989883117 -0.922122895584416
"subject3_laying" 0.276848003139098 -0.020162430625188 -0.10342768283609 -0.970809357894737 -0.961258555902256 -0.964054128195489 -0.28961722793609 0.659572890676692 0.681522462218045 -0.966638374887218 -0.982442531954887 -0.971762538646617 0.0781476706165413 0.0144821768075188 -0.00511809091409962 -0.982522446917293 -0.977379816015038 -0.982339022218045 -0.0172385679617218 -0.087743019637218 0.11439004837218 -0.975730399360902 -0.966028440225564 -0.971344248458647 -0.101585616725564 -0.0390314549778195 -0.0636555400075188 -0.982758585112782 -0.981248412255639 -0.987300516954887 -0.966489947969925 -0.957641496466165 -0.966489947969925 -0.957641496466165 -0.982849937368421 -0.978195318759398 -0.952112210827068 -0.95204728481203 -0.985406393157895 -0.978942581428571 -0.974856007293233 -0.967602467706767 -0.970866743345865 -0.969575686729323 -0.960208708834586 -0.962677149135338 -0.982192058421053 -0.977508301428571 -0.979531717857143 -0.984592266203008 -0.978952072180451 -0.98381028093985 -0.973003827030075 -0.970686633796992 -0.971228111240601 -0.976808057819549 -0.963953938045113 -0.974038283796993 -0.964023875639098 -0.960133880037594
"subject3_walking" 0.274856442586784 -0.021435572265815 -0.111591487534802 -0.233329911962996 -0.0188052789328781 -0.12691374210928 0.919699249779736 -0.22617606669163 -0.120189704952705 -0.958844230969163 -0.937795201718062 -0.911789815594714 0.073959026884163 0.0130480668575037 -0.00141148573919236 -0.270662366009545 -0.203486744413333 -0.449890603560367 -0.0408823765481791 -0.0683306564142144 0.0797730307431718 -0.436433397406314 -0.224429205399266 -0.286474940955507 -0.0885200301795888 -0.0435038830209985 -0.0555645799850661 -0.460948366720999 -0.447310661802496 -0.477468586199706 -0.0982357430214097 -0.198877725417592 -0.0982357430214097 -0.198877725417592 -0.270739078227606 -0.212208445135786 -0.161215982352761 -0.24166130919207 -0.44706434078047 -0.449890482041909 -0.239299931049339 -0.0673026255953598 -0.235827920553304 -0.233606779825433 -0.0588727346726725 -0.143408271214479 -0.294743669989721 -0.243467140741982 -0.409033932548899 -0.312461911773441 -0.21562457078907 -0.49075996136094 -0.341257162734949 -0.274669848989148 -0.271617443007048 -0.470935436401131 -0.207379026661087 -0.360217822322026 -0.16275940182232 -0.34717028882812
